event_date,f1name,f2name,f1result,f2result,method,method_d,round,time
5/26/12,Darren Elkins,Diego Brandao,win,loss,Decision,Unanimous,3,5:00
11/17/12,Darren Elkins,Steven Siler,win,loss,Decision,Unanimous,3,5:00
3/16/13,Darren Elkins,Antonio Carvalho,win,loss,TKO,Punches,1,3:06
8/28/13,Darren Elkins,Hatsu Hioki,win,loss,Decision,Unanimous,3,5:00
10/25/14,Darren Elkins,Lucas Martins,win,loss,Decision,Split,3,5:00
10/24/15,Darren Elkins,Robert Whiteford,win,loss,Decision,Unanimous,3,5:00
5/30/15,Darren Till,Wendell de Oliveira Marques,win,loss,KO,Elbows,2,1:37
10/24/15,Darren Till,Nicolas Dalby,draw,draw,Draw,Majority,3,5:00
11/12/11,Darren Uyenoyama,Norifumi Yamamoto,win,loss,Decision,Unanimous,3,5:00
10/5/12,Darren Uyenoyama,Phil Harris,win,loss,Submission,Rear-Naked Choke,2,3:38
4/7/95,Dave Beneteau,Todd Medina,win,loss,TKO,Punches,1,2:12
4/7/95,Dave Beneteau,Asbel Cancio,win,loss,TKO,Punches,1,0:21
10/17/97,Dave Beneteau,Carlos Barreto,win,loss,Decision,,1,15:00
6/11/11,Dave Herman,John Olav Einemo,win,loss,TKO,Punches,2,3:19
3/10/00,Dave Menne,Fabiano Iha,win,loss,Decision,Unanimous,3,5:00
9/28/01,Dave Menne,Gil Castillo,win,loss,Decision,Unanimous,5,5:00
4/25/03,Dave Strasser,Romie Aram,win,loss,Decision,Unanimous,3,5:00
7/14/95,David Abbott,Paul Varelans,win,loss,TKO,Punches,1,1:53
7/14/95,David Abbott,John Matua,win,loss,KO,Punch,1,0:20
9/20/96,David Abbott,Sam Adkins,win,loss,Submission,Neck Crank,1,2:06
12/7/96,David Abbott,Cal Worsham,win,loss,Submission,Punches,1,2:51
12/7/96,David Abbott,Steve Nelmark,win,loss,KO,Punch,1,1:03
5/15/98,David Abbott,Hugo Duarte,win,loss,TKO,Punches,1,0:43
10/18/08,David Bielkheden,Jess Liaudin,win,loss,Decision,Unanimous,3,5:00
9/15/10,David Branch,Tomasz Drwal,win,loss,Decision,Unanimous,3,5:00
12/4/10,David Branch,Rich Attonito,win,loss,Decision,Unanimous,3,5:00
8/26/06,David Heath,Cory Walmsley,win,loss,Submission,Rear-Naked Choke,1,2:32
12/13/06,David Heath,Victor Valimaki,win,loss,Decision,Split,3,5:00
4/25/03,David Loiseau,Mark Weir,win,loss,KO,Punches,1,3:55
2/5/05,David Loiseau,Gideon Ray,win,loss,TKO,Doctor Stoppage,1,5:00
6/4/05,David Loiseau,Charles McCarthy,win,loss,TKO,Spinning Back Kick,2,2:10
10/3/05,David Loiseau,Evan Tanner,win,loss,TKO,Cuts,2,4:15
12/13/14,David Michaud,Garett Whiteley,win,loss,Decision,Unanimous,3,5:00
1/26/13,David Mitchell,Simeon Thoresen,win,loss,Decision,Unanimous,3,5:00
8/21/04,David Terrell,Matt Lindland,win,loss,KO,Punches,1,0:24
4/15/06,David Terrell,Scott Smith,win,loss,Submission,Rear-Naked Choke,1,3:08
5/27/06,Dean Lister,Alessio Sakara,win,loss,Submission,Triangle Choke,1,2:20
8/17/06,Dean Lister,Yuki Sasaki,win,loss,Decision,Unanimous,3,5:00
12/29/07,Dean Lister,Jordan Radev,win,loss,Decision,Unanimous,3,5:00
6/21/08,Dean Lister,Jeremy Horn,win,loss,Submission,Guillotine Choke,1,3:52
2/5/11,Demetrious Johnson,Norifumi Yamamoto,win,loss,Decision,Unanimous,3,5:00
5/28/11,Demetrious Johnson,Miguel Torres,win,loss,Decision,Unanimous,3,5:00
3/3/12,Demetrious Johnson,Ian McCall,draw,draw,Draw,Majority,3,5:00
6/8/12,Demetrious Johnson,Ian McCall,win,loss,Decision,Unanimous,3,5:00
9/22/12,Demetrious Johnson,Joseph Benavidez,win,loss,Decision,Split,5,5:00
1/26/13,Demetrious Johnson,John Dodson,win,loss,Decision,Unanimous,5,5:00
7/27/13,Demetrious Johnson,John Moraga,win,loss,Submission,Armbar,5,3:43
12/14/13,Demetrious Johnson,Joseph Benavidez,win,loss,KO,Punches,1,2:08
6/14/14,Demetrious Johnson,Ali Bagautinov,win,loss,Decision,Unanimous,5,5:00
9/27/14,Demetrious Johnson,Chris Cariaso,win,loss,Submission,Kimura,2,2:29
4/25/15,Demetrious Johnson,Kyoji Horiguchi,win,loss,Submission,Armbar,5,4:59
9/5/15,Demetrious Johnson,John Dodson,win,loss,Decision,Unanimous,5,5:00
10/20/07,Demian Maia,Ryan Jensen,win,loss,Submission,Rear-Naked Choke,1,2:40
4/19/08,Demian Maia,Ed Herman,win,loss,Technical,Submission (Triangle Choke,2,2:27
8/9/08,Demian Maia,Jason MacDonald,win,loss,Submission,Rear-Naked Choke,3,2:44
11/15/08,Demian Maia,Nate Quarry,win,loss,Submission,Rear-Naked Choke,1,2:13
2/21/09,Demian Maia,Chael Sonnen,win,loss,Submission,Triangle Choke,1,2:37
2/6/10,Demian Maia,Dan Miller,win,loss,Decision,Unanimous,3,5:00
8/28/10,Demian Maia,Mario Miranda,win,loss,Decision,Unanimous,3,5:00
12/4/10,Demian Maia,Kendall Grove,win,loss,Decision,Unanimous,3,5:00
10/8/11,Demian Maia,Jorge Santiago,win,loss,Decision,Unanimous,3,5:00
7/7/12,Demian Maia,Dong Hyun Kim,win,loss,TKO,Rib Injury,1,0:47
10/13/12,Demian Maia,Rick Story,win,loss,Submission,Neck Crank,1,2:30
2/2/13,Demian Maia,Jon Fitch,win,loss,Decision,Unanimous,3,5:00
5/31/14,Demian Maia,Alexander Yakovlev,win,loss,Decision,Unanimous,3,5:00
3/21/15,Demian Maia,Ryan LaFlare,win,loss,Decision,Unanimous,5,5:00
8/1/15,Demian Maia,Neil Magny,win,loss,Submission,Rear-Naked Choke,2,2:52
12/12/15,Demian Maia,Gunnar Nelson,win,loss,Decision,Unanimous,3,5:00
4/18/09,Denis Kang,Xavier Foupa-Pokam,win,loss,Decision,Unanimous,3,5:00
5/5/12,Dennis Bermudez,Pablo Garza,win,loss,Decision,Unanimous,3,5:00
8/11/12,Dennis Bermudez,Tommy Hayden,win,loss,Submission,Guillotine Choke,1,4:43
2/23/13,Dennis Bermudez,Matt Grice,win,loss,Decision,Split,3,5:00
5/25/13,Dennis Bermudez,Max Holloway,win,loss,Decision,Split,3,5:00
11/6/13,Dennis Bermudez,Steven Siler,win,loss,Decision,Unanimous,3,5:00
3/15/14,Dennis Bermudez,Jim Hettes,win,loss,TKO,Punches and Knee,3,2:57
7/26/14,Dennis Bermudez,Clay Guida,win,loss,Submission,Rear-Naked Choke,2,2:57
2/21/16,Dennis Bermudez,Tatsuya Kawajiri,win,loss,Decision,Unanimous,3,5:00
12/16/00,Dennis Hallman,Matt Hughes,win,loss,Submission,Armbar,1,0:20
8/7/10,Dennis Hallman,Ben Saunders,win,loss,Decision,Unanimous,3,5:00
11/20/10,Dennis Hallman,Karo Parisyan,win,loss,TKO,Punches,1,1:47
12/10/11,Dennis Hallman,John Makdessi,win,loss,Submission,Rear-Naked Choke,1,2:58
9/8/07,Dennis Siver,Naoyuki Kotani,win,loss,KO,Punch,2,2:04
1/17/09,Dennis Siver,Nate Mohr,win,loss,TKO,Spinning Back Kick and Punches,3,3:27
6/13/09,Dennis Siver,Dale Hartt,win,loss,Submission,Rear-Naked Choke,1,3:23
11/14/09,Dennis Siver,Paul Kelly,win,loss,TKO,Spinning Back Kick and Punches,2,2:53
6/19/10,Dennis Siver,Spencer Fisher,win,loss,Decision,Unanimous,3,5:00
11/13/10,Dennis Siver,Andre Winner,win,loss,Submission,Rear-Naked Choke,1,3:37
2/27/11,Dennis Siver,George Sotiropoulos,win,loss,Decision,Unanimous,3,5:00
7/2/11,Dennis Siver,Matt Wiman,win,loss,Decision,Unanimous,3,5:00
4/14/12,Dennis Siver,Diego Nunes,win,loss,Decision,Unanimous,3,5:00
12/8/12,Dennis Siver,Nam Phan,win,loss,Decision,Unanimous,3,5:00
12/28/13,Dennis Siver,Manny Gamburyan,NC,NC,NC,Overturned by Commission,3,5:00
10/4/14,Dennis Siver,Charles Rosa,win,loss,Decision,Unanimous,3,5:00
12/29/12,Derek Brunson,Chris Leben,win,loss,Decision,Unanimous,3,5:00
11/6/13,Derek Brunson,Brian Houston,win,loss,Submission,Rear-Naked Choke,1,0:48
8/30/14,Derek Brunson,Lorenz Larkin,win,loss,Decision,Unanimous,3,5:00
1/31/15,Derek Brunson,Ed Herman,win,loss,TKO,Punches,1,0:36
8/8/15,Derek Brunson,Sam Alvey,win,loss,TKO,Punches,1,2:19
2/21/16,Derek Brunson,Roan Carneiro,win,loss,KO,Punches,1,2:38
4/19/14,Derrick Lewis,Jack May,win,loss,TKO,Punches,1,4:23
7/6/14,Derrick Lewis,Carlos Augusto Inocente Filho,win,loss,KO,Punches,1,3:30
2/28/15,Derrick Lewis,Ruan Potts,win,loss,TKO,Punches,2,3:18
10/3/15,Derrick Lewis,Viktor Pesta,win,loss,TKO,Punches,3,1:15
2/6/16,Derrick Lewis,Damian Grabowski,win,loss,TKO,Punches,1,2:17
11/8/14,Dhiego Lima,Jorge Antonio Cezario de Oliveira,win,loss,Decision,Unanimous,3,5:00
12/3/11,Diego Brandao,Dennis Bermudez,win,loss,Submission,Armbar,1,4:51
10/13/12,Diego Brandao,Joey Gambino,win,loss,Decision,Unanimous,3,5:00
4/6/13,Diego Brandao,Pablo Garza,win,loss,Submission,Arm-Triangle Choke,1,3:27
8/17/13,Diego Brandao,Daniel Pineda,win,loss,Decision,Unanimous,3,5:00
4/18/15,Diego Brandao,Jim Hettes,win,loss,TKO,Doctor Stoppage,1,5:00
9/26/15,Diego Brandao,Katsunori Kikuno,win,loss,TKO,Punches,1,0:28
1/1/11,Diego Nunes,Mike Thomas Brown,win,loss,Decision,Split,3,5:00
12/30/11,Diego Nunes,Manny Gamburyan,win,loss,Decision,Unanimous,3,5:00
10/5/12,Diego Nunes,Bart Palaszewski,win,loss,Decision,Unanimous,3,5:00
11/8/14,Diego Rivas,Rodolfo Rubio Perez,win,loss,Decision,Unanimous,3,5:00
2/6/16,Diego Rivas,Noad Lahat,win,loss,KO,Flying Knee,2,0:23
4/9/05,Diego Sanchez,Kenny Florian,win,loss,TKO,Punches,1,2:49
8/20/05,Diego Sanchez,Brian Gassaway,win,loss,Submission,Punches,2,1:56
11/5/05,Diego Sanchez,Nick Diaz,win,loss,Decision,Unanimous,3,5:00
5/27/06,Diego Sanchez,John Alessio,win,loss,Decision,Unanimous,3,5:00
8/17/06,Diego Sanchez,Karo Parisyan,win,loss,Decision,Unanimous,3,5:00
12/13/06,Diego Sanchez,Joe Riggs,win,loss,KO,Knee,1,1:45
3/1/08,Diego Sanchez,David Bielkheden,win,loss,Submission,Punches,1,4:43
6/21/08,Diego Sanchez,Luigi Fioravanti,win,loss,TKO,Knee and Punches,3,4:07
2/21/09,Diego Sanchez,Joe Stevenson,win,loss,Decision,Unanimous,3,5:00
6/20/09,Diego Sanchez,Clay Guida,win,loss,Decision,Split,3,5:00
10/23/10,Diego Sanchez,Paulo Thiago,win,loss,Decision,Unanimous,3,5:00
3/3/11,Diego Sanchez,Martin Kampmann,win,loss,Decision,Unanimous,3,5:00
3/3/13,Diego Sanchez,Takanori Gomi,win,loss,Decision,Split,3,5:00
6/7/14,Diego Sanchez,Ross Pearson,win,loss,Decision,Split,3,5:00
9/28/01,Din Thomas,Fabiano Iha,win,loss,Decision,Unanimous,3,5:00
2/28/03,Din Thomas,Matt Serra,win,loss,Decision,Split,3,5:00
11/11/06,Din Thomas,Rich Clementi,win,loss,Submission,Rear-Naked Choke,2,3:11
1/25/07,Din Thomas,Clay Guida,win,loss,Decision,Unanimous,3,5:00
5/26/07,Din Thomas,Jeremy Stephens,win,loss,Submission,Armbar,2,2:44
7/2/11,Dominick Cruz,Urijah Faber,win,loss,Decision,Unanimous,5,5:00
10/1/11,Dominick Cruz,Demetrious Johnson,win,loss,Decision,Unanimous,5,5:00
9/27/14,Dominick Cruz,Takeya Mizugaki,win,loss,KO,Punches,1,1:01
1/17/16,Dominick Cruz,T.J. Dillashaw,win,loss,Decision,Split,5,5:00
11/28/15,Dominique Steele,Dong Hyun  Kim,win,loss,KO,Slam,3,0:27
2/16/96,Don Frye,Gary Goodridge,win,loss,Submission,Position,1,2:14
2/16/96,Don Frye,Sam Adkins,win,loss,TKO,Doctor Stoppage,1,0:48
2/16/96,Don Frye,Thomas Ramirez,win,loss,KO,Punch,1,0:08
5/17/96,Don Frye,Amaury Bitetti,win,loss,TKO,Punches,1,9:22
7/12/96,Don Frye,Brian Johnston,win,loss,Submission,Elbow,1,4:37
7/12/96,Don Frye,Mark Hall,win,loss,TKO,Punches,1,10:21
12/7/96,Don Frye,Gary Goodridge,win,loss,Submission,Fatigue,1,11:19
12/7/96,Don Frye,David Abbott,win,loss,Submission,Rear-Naked Choke,1,1:22
12/7/96,Don Frye,Mark Hall,win,loss,Submission,Achilles Lock,1,0:20
2/5/11,Donald Cerrone,Paul Kelly,win,loss,Submission,Rear-Naked Choke,2,3:48
6/11/11,Donald Cerrone,Vagner Rocha,win,loss,Decision,Unanimous,3,5:00
8/14/11,Donald Cerrone,Charles Oliveira,win,loss,TKO,Punches,1,3:01
10/29/11,Donald Cerrone,Dennis Siver,win,loss,Submission,Rear-Naked Choke,1,2:22
5/15/12,Donald Cerrone,Jeremy Stephens,win,loss,Decision,Unanimous,3,5:00
8/11/12,Donald Cerrone,Melvin Guillard,win,loss,KO,Head Kick and Punch,1,1:16
5/25/13,Donald Cerrone,K.J. Noons,win,loss,Decision,Unanimous,3,5:00
11/16/13,Donald Cerrone,Evan Dunham,win,loss,Submission,Triangle Choke,2,3:49
1/25/14,Donald Cerrone,Adriano Martins,win,loss,KO,Head Kick,1,4:40
4/19/14,Donald Cerrone,Edson Barboza,win,loss,Submission,Rear-Naked Choke,1,3:15
7/16/14,Donald Cerrone,Jim Miller,win,loss,KO,Head Kick and Punches,2,3:31
9/27/14,Donald Cerrone,Eddie Alvarez,win,loss,Decision,Unanimous,3,5:00
1/3/15,Donald Cerrone,Myles Jury,win,loss,Decision,Unanimous,3,5:00
1/18/15,Donald Cerrone,Benson Henderson,win,loss,Decision,Unanimous,3,5:00
5/23/15,Donald Cerrone,John Makdessi,win,loss,TKO,Head Kick,2,4:44
2/21/16,Donald Cerrone,Alex Oliveira,win,loss,Submission,Triangle Choke,1,2:33
5/24/08,Dong Hyun Kim,Jason Tan,win,loss,TKO,Elbows,3,0:25
9/6/08,Dong Hyun Kim,Matt Brown,win,loss,Decision,Split,3,5:00
7/11/09,Dong Hyun Kim,T.J. Grant,win,loss,Decision,Unanimous,3,5:00
5/29/10,Dong Hyun Kim,Amir Sadollah,win,loss,Decision,Unanimous,3,5:00
1/1/11,Dong Hyun Kim,Nate Diaz,win,loss,Decision,Unanimous,3,5:00
12/30/11,Dong Hyun Kim,Sean Pierson,win,loss,Decision,Unanimous,3,5:00
11/10/12,Dong Hyun Kim,Paulo Thiago,win,loss,Decision,Unanimous,3,5:00
3/3/13,Dong Hyun Kim,Siyar Bahadurzada,win,loss,Decision,Unanimous,3,5:00
10/9/13,Dong Hyun Kim,Erick Silva,win,loss,KO,Punch,2,3:01
3/1/14,Dong Hyun Kim,John Hathaway,win,loss,KO,Spinning Back Elbow,3,1:02
5/23/15,Dong Hyun Kim,Joshua Burkman,win,loss,Submission,Arm-Triangle Choke,3,2:13
11/28/15,Dong Hyun Kim,Dominic Waters,win,loss,TKO,Punches,1,3:11
3/3/11,Dongi Yang,Rob Kimmons,win,loss,TKO,Punches,2,4:47
11/28/15,Dongi Yang,Jake Collier,win,loss,TKO,Punches,2,1:50
11/22/14,Doo Ho Choi,Juan Manuel Puig,win,loss,TKO,Punches,1,0:18
11/28/15,Doo Ho Choi,Sam Sicilia,win,loss,KO,Punches,1,1:33
2/22/15,Douglas Silva de Andrade,Cody Gibson,win,loss,Decision,Unanimous,3,5:00
12/13/14,Drew Dober,Jamie Varner,win,loss,Submission,Rear-Naked Choke,1,1:52
1/2/16,Drew Dober,Scott Holtzman,win,loss,Decision,Unanimous,3,5:00
8/6/05,Drew Fickett,Josh Neer,win,loss,Technical,Submission (Rear-Naked Choke,1,1:35
10/3/05,Drew Fickett,Josh Koscheck,win,loss,Technical,Submission (Rear-Naked Choke,3,4:28
7/8/06,Drew Fickett,Kurt Pellegrino,win,loss,Submission,Rear-Naked Choke,3,1:20
4/5/07,Drew Fickett,Keita Nakamura,win,loss,Decision,Unanimous,3,5:00
11/18/06,Drew McFedries,Alessio Sakara,win,loss,TKO,Punches,1,4:07
6/12/07,Drew McFedries,Jordan Radev,win,loss,KO,Punch,1,0:33
6/21/08,Drew McFedries,Marvin Eastman,win,loss,TKO,Punches,1,1:08
5/23/09,Drew McFedries,Xavier Foupa-Pokam,win,loss,TKO,Punches,1,0:37
4/25/03,Duane Ludwig,Genki Sudo,win,loss,Decision,Unanimous,3,5:00
1/16/06,Duane Ludwig,Jonathan Goulet,win,loss,TKO,Punch,1,0:11
11/13/10,Duane Ludwig,Nick Osipczak,win,loss,Decision,Split,3,5:00
8/14/11,Duane Ludwig,Amir Sadollah,win,loss,Decision,Unanimous,3,5:00
2/3/07,Dustin Hazelett,Diego Saraiva,win,loss,Decision,Unanimous,3,5:00
6/16/07,Dustin Hazelett,Steven Lynch,win,loss,Submission,Anaconda Choke,1,2:50
9/19/07,Dustin Hazelett,Jonathan Goulet,win,loss,Submission,Armbar,1,1:14
6/21/08,Dustin Hazelett,Joshua Burkman,win,loss,Submission,Armbar,2,4:46
11/15/08,Dustin Hazelett,Tamdan McCrory,win,loss,Submission,Reverse Armbar,1,3:59
2/2/13,Dustin Kimura,Chico Camus,win,loss,Submission,Rear-Naked Choke,3,1:50
1/4/14,Dustin Kimura,Jon delos Reyes,win,loss,Submission,Armbar,1,2:13
11/9/13,Dustin Ortiz,Jose Maria Tome,win,loss,TKO,Punches,3,3:19
4/19/14,Dustin Ortiz,Ray Borg,win,loss,Decision,Split,3,5:00
7/6/14,Dustin Ortiz,Justin Scoggins,win,loss,Decision,Split,3,5:00
8/8/15,Dustin Ortiz,Willie Gates,win,loss,TKO,Punches,3,2:58
6/8/12,Dustin Pague,Jared Papazian,win,loss,Submission,Rear-Naked Choke,1,3:21
1/1/11,Dustin Poirier,Josh Grispi,win,loss,Decision,Unanimous,3,5:00
6/11/11,Dustin Poirier,Jason Young,win,loss,Decision,Unanimous,3,5:00
11/12/11,Dustin Poirier,Pablo Garza,win,loss,Submission,Brabo Choke,2,1:32
2/4/12,Dustin Poirier,Max Holloway,win,loss,Submission,Triangle Armbar,1,3:23
12/15/12,Dustin Poirier,Jonathan Brookins,win,loss,Submission,Brabo Choke,1,4:15
8/31/13,Dustin Poirier,Erik Koch,win,loss,Decision,Unanimous,3,5:00
12/28/13,Dustin Poirier,Diego Brandao,win,loss,KO,Punches,1,4:54
4/16/14,Dustin Poirier,Akira Corassani,win,loss,TKO,Punches,2,0:42
4/4/15,Dustin Poirier,Carlos Diego Ferreira,win,loss,KO,Punches,1,3:45
6/6/15,Dustin Poirier,Yancy Medeiros,win,loss,TKO,Punches,1,2:38
1/2/16,Dustin Poirier,Joseph Duffy,win,loss,Decision,Unanimous,3,5:00
10/17/97,Dwayne Cason,Houston Dorr,win,loss,TKO,Punches,1,3:43
4/13/13,Dylan Andrews,Jimmy Quinlan,win,loss,TKO,Punches,1,3:22
8/28/13,Dylan Andrews,Papy Abedi,win,loss,KO,Punches,3,1:32
10/16/98,Ebenezer Fontes Braga,Jeremy Horn,win,loss,Submission,Guillotine Choke,1,3:27
1/25/07,Ed Herman,Chris Price,win,loss,Submission,Armbar,1,2:58
6/16/07,Ed Herman,Scott Smith,win,loss,Submission,Rear-Naked Choke,2,2:25
11/17/07,Ed Herman,Joe Doerksen,win,loss,KO,Punch,3,0:39
4/18/09,Ed Herman,David Loiseau,win,loss,Decision,Unanimous,3,5:00
6/4/11,Ed Herman,Tim Credeur,win,loss,TKO,Punches,1,0:48
8/14/11,Ed Herman,Kyle Noke,win,loss,Submission,Inverted Heel Hook,1,4:15
2/4/12,Ed Herman,Clifford Starks,win,loss,Submission,Rear-Naked Choke,2,1:43
7/27/13,Ed Herman,Trevor Smith,win,loss,Decision,Split,3,5:00
5/10/14,Ed Herman,Rafael Natal,win,loss,Decision,Unanimous,3,5:00
1/17/16,Ed Herman,Tim Boetsch,win,loss,KO,Knee,2,1:39
6/13/15,Eddie Alvarez,Gilbert Melendez,win,loss,Decision,Split,3,5:00
1/17/16,Eddie Alvarez,Anthony Pettis,win,loss,Decision,Split,3,5:00
7/6/14,Eddie Gordon,Dhiego Lima,win,loss,KO,Punches,1,1:11
9/23/06,Eddie Sanchez,Mario Neto,win,loss,KO,Punches,2,0:17
6/16/07,Eddie Sanchez,Colin Robinson,win,loss,TKO,Punches,2,0:32
12/29/07,Eddie Sanchez,Soa Palelei,win,loss,TKO,Punches,3,3:24
6/8/12,Eddie Wineland,Scott Jorgensen,win,loss,KO,Punches,2,4:10
12/29/12,Eddie Wineland,Brad Pickett,win,loss,Decision,Split,3,5:00
1/25/14,Eddie Wineland,Yves Jabouin,win,loss,TKO,Punches,2,4:16
4/21/12,Eddie Yagin,Mark Hominick,win,loss,Decision,Split,3,5:00
9/4/13,Edimilson Souza,Felipe Arantes,win,loss,Decision,Split,3,5:00
5/31/14,Edimilson Souza,Mark Eddiva,win,loss,TKO,Punches,2,4:52
3/21/15,Edimilson Souza,Katsunori Kikuno,win,loss,KO,Punch,1,1:31
11/20/10,Edson Barboza,Mike Lullo,win,loss,TKO,Leg Kicks,3,0:26
3/19/11,Edson Barboza,Anthony Njokuani,win,loss,Decision,Unanimous,3,5:00
8/27/11,Edson Barboza,Ross Pearson,win,loss,Decision,Split,3,5:00
1/14/12,Edson Barboza,Terry Etim,win,loss,KO,Spinning Wheel Kick,3,2:02
1/19/13,Edson Barboza,Lucas Martins,win,loss,TKO,Retirement,1,2:38
7/6/13,Edson Barboza,Rafaello Oliveira,win,loss,TKO,Leg Kicks,2,1:44
12/14/13,Edson Barboza,Danny Castillo,win,loss,Decision,Majority,3,5:00
7/16/14,Edson Barboza,Evan Dunham,win,loss,TKO,Kick to the Body and Punches,1,3:06
11/22/14,Edson Barboza,Bobby Green,win,loss,Decision,Unanimous,3,5:00
7/25/15,Edson Barboza,Paul Felder,win,loss,Decision,Unanimous,3,5:00
8/14/11,Edwin Figueroa,Jason Reinhardt,win,loss,TKO,Elbows and Punches,2,0:50
2/4/12,Edwin Figueroa,Alex Caceres,win,loss,Decision,Split,3,5:00
12/13/08,Efrain Escudero,Phillipe Nover,win,loss,Decision,Unanimous,3,5:00
9/19/09,Efrain Escudero,Cole Miller,win,loss,TKO,Punches,1,3:36
5/29/10,Efrain Escudero,Dan Lauzon,win,loss,Decision,Unanimous,3,5:00
2/14/15,Efrain Escudero,Rodrigo Goiana de Lima,win,loss,Decision,Unanimous,3,5:00
6/13/15,Efrain Escudero,Drew Dober,win,loss,Submission,Guillotine Choke,1,0:54
9/4/13,Elias Silverio,Joao Zeferino,win,loss,Decision,Unanimous,3,5:00
1/15/14,Elias Silverio,Isaac Vallie-Flagg,win,loss,Decision,Unanimous,3,5:00
5/31/14,Elias Silverio,Ernest Chavez,win,loss,Submission,Rear-Naked Choke,3,4:21
4/16/14,Elias Theodorou,Sheldon Westcott,win,loss,TKO,Punches and Elbows,2,4:41
10/4/14,Elias Theodorou,Bruno Santos,win,loss,Decision,Unanimous,3,5:00
3/14/15,Elias Theodorou,Roger Narvaez,win,loss,TKO,Punches,2,4:07
12/13/08,Eliot Marshall,Jules Bruchez,win,loss,Submission,Rear-Naked Choke,1,1:27
4/18/09,Eliot Marshall,Vinny Magalhaes,win,loss,Decision,Unanimous,3,5:00
9/19/09,Eliot Marshall,Jason Brilz,win,loss,Decision,Split,3,5:00
7/25/15,Elizabeth Phillips,Jessamyn Duke,win,loss,Decision,Unanimous,3,5:00
2/23/01,Elvis Sinosic,Jeremy Horn,win,loss,Submission,Triangle Armbar,1,2:59
11/21/15,Enrique Barzola,Horacio Gutierrez,win,loss,Decision,Unanimous,3,5:00
11/15/14,Enrique Briones,Guido Cannetti,win,loss,Submission,Rear-Naked Choke,2,1:44
5/30/97,Enson Inoue,Royce Alger,win,loss,Submission,Armlock,1,1:36
8/26/06,Eric Schafer,Rob MacDonald,win,loss,Submission,Arm-Triangle Choke,1,2:26
9/17/08,Eric Schafer,Houston Alexander,win,loss,Submission,Arm-Triangle Choke,1,4:53
1/17/09,Eric Schafer,Antonio Mendes,win,loss,TKO,Punches,1,3:35
11/21/15,Erick Montano,Enrique Marin,win,loss,Decision,Split,3,5:00
8/27/11,Erick Silva,Luis Ramos,win,loss,TKO,Punches,1,0:40
6/8/12,Erick Silva,Charlie Brenneman,win,loss,Submission,Rear-Naked Choke,1,4:33
6/8/13,Erick Silva,Jason High,win,loss,Submission,Reverse Triangle Armbar,1,1:11
2/15/14,Erick Silva,Takenori Sato,win,loss,KO,Punches,1,0:52
12/20/14,Erick Silva,Mike Rhodes,win,loss,Technical,Submission (Arm-Triangle Choke,1,1:15
3/21/15,Erick Silva,Josh Koscheck,win,loss,Submission,Guillotine Choke,1,4:21
3/19/11,Erik Koch,Raphael Assuncao,win,loss,KO,Punch,1,2:32
9/17/11,Erik Koch,Jonathan Brookins,win,loss,Decision,Unanimous,3,5:00
2/22/14,Erik Koch,Rafaello Oliveira,win,loss,TKO,Punches,1,1:24
6/1/12,Erik Perez,John Albert,win,loss,Technical,Submission (Armbar,1,4:18
8/11/12,Erik Perez,Ken Stone,win,loss,KO,Punches,1,0:17
12/29/12,Erik Perez,Byron Bloodworth,win,loss,TKO,Punches,1,3:50
11/16/13,Erik Perez,Edwin Figueroa,win,loss,Decision,Unanimous,3,5:00
11/21/15,Erik Perez,Taylor Lapilus,win,loss,Decision,Unanimous,3,5:00
2/22/14,Ernest Chavez,Yosdenis Cedeno,win,loss,Decision,Split,3,5:00
7/16/99,Eugene Jackson,Royce Alger,win,loss,KO,Punch,2,1:19
1/11/02,Eugene Jackson,Keith Rockel,win,loss,Submission,Guillotine Choke,2,3:46
2/21/09,Evan Dunham,Per Eklund,win,loss,TKO,Punches,1,2:13
8/29/09,Evan Dunham,Marcus Aurelio,win,loss,Decision,Split,3,5:00
1/11/10,Evan Dunham,Efrain Escudero,win,loss,Submission,Armbar,3,1:59
6/12/10,Evan Dunham,Tyson Griffin,win,loss,Decision,Split,3,5:00
9/17/11,Evan Dunham,Shamar Bailey,win,loss,Decision,Unanimous,3,5:00
1/28/12,Evan Dunham,Nik Lentz,win,loss,TKO,Doctor Stoppage,2,5:00
2/2/13,Evan Dunham,Gleison Tibau,win,loss,Decision,Split,3,5:00
1/3/15,Evan Dunham,Rodrigo Damm,win,loss,Decision,Unanimous,3,5:00
7/18/15,Evan Dunham,Ross Pearson,win,loss,Decision,Unanimous,3,5:00
12/11/15,Evan Dunham,Joe Lauzon,win,loss,Decision,Unanimous,3,5:00
1/8/99,Evan Tanner,Darrell Gholar,win,loss,Submission,Rear-Naked Choke,1,7:57
3/5/99,Evan Tanner,Valeri Ignatov,win,loss,TKO,Elbows,1,2:58
12/16/00,Evan Tanner,Lance Gibson,win,loss,TKO,Punches and Elbows,1,4:48
11/2/01,Evan Tanner,Homer Moore,win,loss,Submission,Armbar,2,0:55
3/22/02,Evan Tanner,Elvis Sinosic,win,loss,TKO,Cut,1,2:06
7/13/02,Evan Tanner,Chris Haseman,win,loss,Decision,Unanimous,3,5:00
11/21/03,Evan Tanner,Phil Baroni,win,loss,TKO,Punches,1,4:42
6/19/04,Evan Tanner,Phil Baroni,win,loss,Decision,Unanimous,3,5:00
