event_date,f1name,f2name,f1result,f2result,method,method_d,round,time
1/25/14,Alex Caceres,Sergio Pettis,win,loss,Submission,Rear-Naked Choke,3,4:39
1/30/16,Alex Caceres,Masio Fullen,win,loss,Decision,Unanimous,3,5:00
5/10/15,Alex Chambers,Kailin Curran,win,loss,Submission,Armbar,3,3:15
12/7/13,Alex Garcia,Ben Wall,win,loss,KO,Punches,1,0:43
3/15/14,Alex Garcia,Sean Spencer,win,loss,Decision,Split,3,5:00
7/11/15,Alex Garcia,Mike Swick,win,loss,Decision,Unanimous,3,5:00
7/27/97,Alex Hunter,Sam Fulton,win,loss,TKO,Punches,1,2:22
10/17/97,Alex Hunter,Harry Moskowitz,win,loss,Decision,,1,10:00
4/9/05,Alex Karalexis,Josh Rafferty,win,loss,TKO,Punches,1,1:40
1/2/16,Alex Morono,Kyle Noke,win,loss,Decision,Split,3,5:00
5/30/15,Alex Oliveira,K.J. Noons,win,loss,Submission,Rear-Naked Choke,1,2:51
6/27/15,Alex Oliveira,Joe Merritt,win,loss,Decision,Unanimous,3,5:00
11/7/15,Alex Oliveira,Piotr Hallmann,win,loss,KO,Punch,3,0:51
4/19/14,Alex White,Estevan Payan,win,loss,KO,Punches,1,1:28
2/6/16,Alex White,Artem Lobov,win,loss,Decision,Unanimous,3,5:00
11/14/09,Alexander Gustafsson,Jared Hamman,win,loss,KO,Punches,1,0:41
10/16/10,Alexander Gustafsson,Cyrille Diabate,win,loss,Submission,Rear-Naked Choke,2,2:41
2/27/11,Alexander Gustafsson,James Te Huna,win,loss,Submission,Rear-Naked Choke,1,4:27
8/6/11,Alexander Gustafsson,Matt Hamill,win,loss,TKO,Punches and Elbows,2,3:41
12/30/11,Alexander Gustafsson,Vladimir Matyushenko,win,loss,TKO,Punches,1,2:13
4/14/12,Alexander Gustafsson,Thiago Silva,win,loss,Decision,Unanimous,3,5:00
12/8/12,Alexander Gustafsson,Mauricio Rua,win,loss,Decision,Unanimous,3,5:00
3/8/14,Alexander Gustafsson,Jimi Manuwa,win,loss,TKO,Knee and Punches,2,1:18
4/4/15,Alexander Yakovlev,Gray Maynard,win,loss,Decision,Unanimous,3,5:00
1/30/16,Alexander Yakovlev,George Sullivan,win,loss,KO,Punch,1,3:59
6/28/14,Alexey Oleinik,Anthony Hamilton,win,loss,Submission,Neck Crank,1,2:18
11/22/14,Alexey Oleinik,Jared Rosholt,win,loss,KO,Punches,1,3:21
6/15/13,Alexis Davis,Rosi Sexton,win,loss,Decision,Unanimous,3,5:00
11/6/13,Alexis Davis,Liz Carmouche,win,loss,Decision,Unanimous,3,5:00
2/22/14,Alexis Davis,Jessica Eye,win,loss,Decision,Split,3,5:00
4/25/15,Alexis Davis,Sarah Kaufman,win,loss,Submission,Armbar,2,3:08
9/4/13,Ali Bagautinov,Marcos Vinicius Borges Pancini,win,loss,TKO,Punches,3,3:28
11/16/13,Ali Bagautinov,Tim Elliott,win,loss,Decision,Unanimous,3,5:00
2/1/14,Ali Bagautinov,John Lineker,win,loss,Decision,Unanimous,3,5:00
12/30/11,Alistair Overeem,Brock Lesnar,win,loss,TKO,Kick to the Body and Punches,1,2:26
2/1/14,Alistair Overeem,Frank Mir,win,loss,Decision,Unanimous,3,5:00
12/13/14,Alistair Overeem,Stefan Struve,win,loss,KO,Punches,1,4:13
3/14/15,Alistair Overeem,Roy Nelson,win,loss,Decision,Unanimous,3,5:00
12/19/15,Alistair Overeem,Junior dos Santos,win,loss,TKO,Punches,2,4:43
2/22/14,Aljamain Sterling,Cody Gibson,win,loss,Decision,Unanimous,3,5:00
7/16/14,Aljamain Sterling,Hugo Viana,win,loss,TKO,Punches,3,3:50
4/18/15,Aljamain Sterling,Takeya Mizugaki,win,loss,Submission,Arm-Triangle Choke,3,2:11
12/10/15,Aljamain Sterling,Johnny Eduardo,win,loss,Submission,Guillotine Choke,2,4:18
12/14/13,Alptekin Ozkilic,Darren Uyenoyama,win,loss,Decision,Split,3,5:00
11/21/15,Alvaro Herrera,Vernon Ramos,win,loss,KO,Punches,1,0:30
10/20/07,Alvin Robinson,Jorge Gurgel,win,loss,Decision,Unanimous,3,5:00
8/3/13,Amanda Nunes,Sheila Gaff,win,loss,TKO,Punches and Elbows,1,2:08
11/6/13,Amanda Nunes,Germaine de Randamie,win,loss,TKO,Elbows,1,3:56
3/21/15,Amanda Nunes,Shayna Baszler,win,loss,TKO,Leg Kick,1,1:56
8/8/15,Amanda Nunes,Sara McMann,win,loss,Submission,Rear-Naked Choke,1,2:53
6/9/00,Amaury Bitetti,Alex Andrade,win,loss,DQ,Kicking with Shoes,2,0:43
6/21/08,Amir Sadollah,C.B. Dollaway,win,loss,Submission,Armbar,1,3:02
11/21/09,Amir Sadollah,Phil Baroni,win,loss,Decision,Unanimous,3,5:00
1/11/10,Amir Sadollah,Brad Blackburn,win,loss,Decision,Unanimous,3,5:00
11/13/10,Amir Sadollah,Peter Sobotta,win,loss,Decision,Unanimous,3,5:00
3/26/11,Amir Sadollah,DaMarques Johnson,win,loss,Submission,Elbows,2,3:27
5/15/12,Amir Sadollah,Jorge Lopez,win,loss,Decision,Split,3,5:00
6/28/06,Anderson Silva,Chris Leben,win,loss,KO,Knee,1,0:49
10/14/06,Anderson Silva,Rich Franklin,win,loss,KO,Knee,1,2:59
2/3/07,Anderson Silva,Travis Lutter,win,loss,Submission,Elbows,2,2:11
7/7/07,Anderson Silva,Nate Marquardt,win,loss,TKO,Punches,1,4:50
10/20/07,Anderson Silva,Rich Franklin,win,loss,TKO,Knees,2,1:07
3/1/08,Anderson Silva,Dan Henderson,win,loss,Submission,Rear-Naked Choke,2,4:52
7/19/08,Anderson Silva,James Irvin,win,loss,KO,Punches,1,1:01
10/25/08,Anderson Silva,Patrick Cote,win,loss,TKO,Knee Injury,3,0:39
4/18/09,Anderson Silva,Thales Leites,win,loss,Decision,Unanimous,5,5:00
8/8/09,Anderson Silva,Forrest Griffin,win,loss,KO,Punch,1,3:23
4/10/10,Anderson Silva,Demian Maia,win,loss,Decision,Unanimous,5,5:00
8/7/10,Anderson Silva,Chael Sonnen,win,loss,Submission,Triangle Armbar,5,3:10
2/5/11,Anderson Silva,Vitor Belfort,win,loss,KO,Front Kick and Punches,1,3:25
8/27/11,Anderson Silva,Yushin Okami,win,loss,TKO,Punches,2,2:04
7/7/12,Anderson Silva,Chael Sonnen,win,loss,TKO,Knee to the Body and Punches,2,1:55
10/13/12,Anderson Silva,Stephan Bonnar,win,loss,TKO,Knee to the Body and Punches,1,4:40
1/31/15,Anderson Silva,Nick Diaz,NC,NC,NC,Overturned by NAC,5,5:00
10/19/13,Andre Fili,Jeremy Larsen,win,loss,TKO,Punches,2,0:53
10/25/14,Andre Fili,Felipe Arantes,win,loss,Decision,Unanimous,3,5:00
11/21/15,Andre Fili,Gabriel Benitez,win,loss,KO,Head Kick and Punches,1,3:13
5/15/98,Andre Roberts,Harry Moskowitz,win,loss,KO,Elbow,1,3:15
7/16/99,Andre Roberts,Ron Waterman,win,loss,KO,Punch,1,2:51
11/14/09,Andre Winner,Roli Delgado,win,loss,KO,Punches,1,3:22
3/31/10,Andre Winner,Rafaello Oliveira,win,loss,Decision,Unanimous,3,5:00
11/17/00,Andrei Arlovski,Aaron Brink,win,loss,Submission,Armbar,1,0:55
11/22/02,Andrei Arlovski,Ian Freeman,win,loss,TKO,Punches,1,1:25
9/26/03,Andrei Arlovski,Vladimir Matyushenko,win,loss,KO,Punch,1,1:59
4/2/04,Andrei Arlovski,Wesley Correira,win,loss,TKO,Punches,2,1:15
2/5/05,Andrei Arlovski,Tim Sylvia,win,loss,Submission,Achilles Lock,1,0:47
6/4/05,Andrei Arlovski,Justin Eilers,win,loss,TKO,Punches,1,4:10
10/7/05,Andrei Arlovski,Paul Buentello,win,loss,KO,Punch,1,0:15
12/30/06,Andrei Arlovski,Marcio Cruz,win,loss,KO,Punches,1,3:15
4/21/07,Andrei Arlovski,Fabricio Werdum,win,loss,Decision,Unanimous,3,5:00
3/1/08,Andrei Arlovski,Jake O'Brien,win,loss,TKO,Punches,2,4:17
6/14/14,Andrei Arlovski,Brendan Schaub,win,loss,Decision,Split,3,5:00
9/13/14,Andrei Arlovski,Antonio Silva,win,loss,KO,Punches,1,2:59
5/23/15,Andrei Arlovski,Travis Browne,win,loss,TKO,Punches,1,4:41
9/5/15,Andrei Arlovski,Frank Mir,win,loss,Decision,Unanimous,3,5:00
1/11/02,Andrei Semenov,Ricardo Almeida,win,loss,TKO,Punches,2,2:01
3/3/12,Andrew Craig,Kyle Noke,win,loss,Decision,Unanimous,3,5:00
7/11/12,Andrew Craig,Rafael Natal,win,loss,KO,Head Kick,2,4:52
7/6/13,Andrew Craig,Chris Leben,win,loss,Decision,Split,3,5:00
7/25/15,Andrew Holbrook,Ramsey Nijem,win,loss,Decision,Split,3,5:00
2/16/13,Andy Ogle,Josh Grispi,win,loss,Decision,Unanimous,3,5:00
12/12/14,Angela Hill,Emily Kagan,win,loss,Decision,Unanimous,3,5:00
6/6/15,Anthony Birchak,Joe Soto,win,loss,KO,Punches,1,1:37
8/30/14,Anthony Hamilton,Ruan Potts,win,loss,TKO,Punches to the Body,2,4:17
4/11/15,Anthony Hamilton,Daniel Omielanczuk,win,loss,Decision,Unanimous,3,5:00
6/12/07,Anthony Johnson,Chad Reiner,win,loss,KO,Punches,1,0:13
4/2/08,Anthony Johnson,Tom Speer,win,loss,KO,Punches,1,0:51
12/13/08,Anthony Johnson,Kevin Burns,win,loss,KO,Head Kick,3,0:28
2/7/09,Anthony Johnson,Luigi Fioravanti,win,loss,TKO,Punches,1,4:39
10/24/09,Anthony Johnson,Yoshiyuki Yoshida,win,loss,TKO,Punches,1,0:41
3/26/11,Anthony Johnson,Dan Hardy,win,loss,Decision,Unanimous,3,5:00
10/1/11,Anthony Johnson,Charlie Brenneman,win,loss,KO,Head Kick,1,2:49
4/26/14,Anthony Johnson,Phil Davis,win,loss,Decision,Unanimous,3,5:00
7/26/14,Anthony Johnson,Antonio Rogerio Nogueira,win,loss,KO,Punches,1,0:44
1/24/15,Anthony Johnson,Alexander Gustafsson,win,loss,TKO,Punches,1,2:15
9/5/15,Anthony Johnson,Jimi Manuwa,win,loss,KO,Punches,2,0:28
1/30/16,Anthony Johnson,Ryan Bader,win,loss,KO,Punches,1,1:26
7/14/95,Anthony Macias,He-Man Ali Gipson,win,loss,Submission,Punches,1,3:06
7/2/11,Anthony Njokuani,Andre Winner,win,loss,Decision,Unanimous,3,5:00
4/21/12,Anthony Njokuani,John Makdessi,win,loss,Decision,Unanimous,3,5:00
4/20/13,Anthony Njokuani,Roger Bowling,win,loss,KO,Punch,2,2:52
2/27/11,Anthony Perosh,Tom Blackledge,win,loss,Submission,Rear-Naked Choke,1,2:45
11/5/11,Anthony Perosh,Cyrille Diabate,win,loss,Submission,Rear-Naked Choke,2,3:09
3/3/12,Anthony Perosh,Nick Penner,win,loss,TKO,Punches and Elbows,1,4:59
8/3/13,Anthony Perosh,Vinny Magalhaes,win,loss,KO,Punches,1,0:14
11/7/14,Anthony Perosh,Carlos Augusto Inocente Filho,win,loss,Submission,Rear-Naked Choke,1,3:46
10/8/11,Anthony Pettis,Jeremy Stephens,win,loss,Decision,Split,3,5:00
